127.0.0.1, 2014-03-08 10:48:30, POST, /admin/default/index, HTTP/1.1, 303, 0.023041
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/default/site, HTTP/1.1, 200, 0.035588
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001018
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000918
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001004
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000314
127.0.0.1, 2014-03-08 10:48:30, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000239
127.0.0.1, 2014-03-08 10:48:31, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.230993
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.248865
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001022
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000784
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000818
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000870
127.0.0.1, 2014-03-08 10:48:35, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-03-08 10:48:37, GET, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.034644
127.0.0.1, 2014-03-08 10:48:37, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000401
127.0.0.1, 2014-03-08 10:48:37, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000263
127.0.0.1, 2014-03-08 10:48:37, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000230
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.001270
